qid,question,answer_id,video_id,a0,a1,a2,a3,start,end
5322,How does the woman show why she agrees with the student's answer?,3,vaHpVjqCnNE,the student's response was somewhat agreeable,The woman nods her head in disagreement.,She seems confused about the student's answer.,She tells the student that she is right,0,47
5323,Is the woman on the right satisfied with the answer?,2,vaHpVjqCnNE,The woman on the right thinks the answer is correct.,The woman on the right is distracted by the children throwing water.,"No, the woman on the right wants the woman on the left to give a better answer.",The woman on the right is wondering what time it is.,0,47
5324,Is the older man understanding of the younger man?,1,vajeoyUEuts,"No, he judges the young man for spending a lot of his time on computers and","Yes, he asks neutral questions without judgment.",The older man is annoyed with the younger man's response.,The older man presents himself with authority.,0,60
5325,What is the dynamic between the older man with glasses and the young man having the conversation?,1,vajeoyUEuts,The older man is a motivational speaker and the young man is his audience.,"The dynamic is professional, the young man is there to receive counseling.",The older man is the young man's boss.,"The dynamic is friendly, the younger man is there to meet new people.",0,60
5326,Why does the man with glasses raise his head quickly when the young man tells him about a girl?,2,vajeoyUEuts,He is interested in the way the young man is speaking about the girl.,The man with glasses is distracted by a fly buzzing around his head.,He in intrigued by what the young man will say next about her.,The man with glasses is checking his watch.,0,60
5327,"Why does the man with glasses repeat ""RL"" back to the young man in red at 0:40?",3,vajeoyUEuts,The man with glasses is confused and doesn't understand what the young man is saying.,The man with glasses is trying to impress the young man with his knowledge of online gaming.,confused by what this means and wants to play the game with him.,He is using the young mans shorthand language to relate to him.,0,60
5328,Why does the younger man in red close his eyes when the man with glasses asks him about what kind of game he's playing?,0,vajeoyUEuts,He is trying not to laugh at the man's limited knowledge of games.,He is trying to think of a lie so he doesn't get in trouble.,He is trying not to roll his eyes at the man's limited knowledge of games.,He is trying to remember the name of the game he's playing.,0,60
5329,How does the woman feel about the topic of conversation?,2,vjZDdaFTubE,She feels too serious about the topic.,She cares about the topic.,"The woman feels serious about this topic, because it is a topic, she feels like is relevant to a lot of people.",The topic of conversation is too casual for her.,0,60
5330,What is the relationship between the two?,1,vjZDdaFTubE,The man is a famous actor and the woman is his driver.,They seem to be friends having a talk or video blog in their car.,The two are familiar with each other.,The woman is a professional driver and the man is her passenger.,0,60
5331,"the people seem to be having a serious conversation and then they start laughing, what is going on, is it odd , why or why not?",1,vjZDdaFTubE,The woman made a joke about the man's driving skills.,"the question that caused the laughter was not meant to illicit that response, it was posed as a serious question keeping in tone with the conversation till that point, but the women finds it funny and laughs it is not odd as a particular question might de something different than what was intended",They were rehearsing for a comedy show and the man's joke was too exaggerated.,"the thing is scripted, so we see different emotions in raapid --> <answer_incorrect>: Different emotions are shown in rapid succession because it was scripted.",0,60
5332,why do hey get back to being serious after the laugh?,2,vjZDdaFTubE,"the humor was offensive to some people in the group, so they switched to a serious topic.",They become serious again because they have to discuss something important.,It was supposed to be a short joke.,The woman becomes serious again because of an important matter.,0,60
5333,why does the women laugh first and then the man laughs?,1,vjZDdaFTubE,"the man wanted to see if the women would be offendd, once she was not",The woman finds the man's remark funny so she laughs naturally before he finishes his comment.,"The man tells a funny story about his childhood, causing the woman to laugh before he finishes.",The woman laughs because she sees a funny billboard outside the car.,0,60
5334,What does the man sitting in the middle of the three men feel about the prospect of getting a selfie with the queen?,1,vqFmKLl2hq4,He thinks it's too much effort to get a selfie with the queen.,He finds it humorous and exciting,He finds it juvenile and stupid.,He is indifferent about getting a selfie with the queen.,0,58
5335,Why are the men whispering?,2,vqFmKLl2hq4,The men are whispering because they are planning a surprise party for the woman.,The men are whispering because they want the other man to hear their comments.,The men are whispering because they don't want the woman to hear their comments.,The men are whispering to be polite to the woman.,0,58
5336,Why does the man in the middle want a picture with people?,1,vqFmKLl2hq4,He wants a picture with people because he wants to remember what they were wearing.,The man in the middle wants pictures with people because he admires them and wants to remember meeting them.,He wants to show off his new camera.,He wants to impress his friends with the famous people he's met.,0,58
5337,"Why does the person sitting in the middle of the three men tell the other man ""don't say that""?",1,vqFmKLl2hq4,He is trying to be diplomatic and not offend anyone.,He is being diplomatic,He was trying to change the subject.,The person in the middle warns against saying something because he is the subject of the insult,0,58
